SKU,Quantity,Price,Description
SKU-001,148,29.99,Wireless Bluetooth Headphones
SKU-002,85,49.99,USB-C Charging Cable 6ft
SKU-003,215,15.99,Phone Screen Protector
SKU-004,42,89.99,Portable Power Bank 20000mAh
SKU-005,95,12.99,Laptop Cleaning Kit
SKU-006,68,34.99,Ergonomic Mouse Pad
SKU-007,120,19.99,HDMI Cable 10ft
SKU-008,33,129.99,Mechanical Keyboard RGB
SKU-009,175,8.99,Cable Organizer Set
SKU-010,55,64.99,Webcam 1080p HD
SKU-011,140,24.99,Wireless Mouse
SKU-012,78,39.99,Gaming Mouse Pad XL
SKU-013,92,17.99,Phone Stand Adjustable
SKU-014,45,99.99,Bluetooth Speaker Waterproof
SKU-015,160,11.99,Microfiber Cleaning Cloth 3-Pack
SKU-016,38,149.99,Wireless Charging Station
SKU-017,105,22.99,Laptop Sleeve 15 inch
SKU-018,62,54.99,USB Hub 7-Port
SKU-019,128,14.99,Screen Wipes 100-Count
SKU-020,51,79.99,Desk Lamp LED Adjustable
